titulo
"Engenheiro de Dados (Construtor de IA)
Publicada há 18 horas
REMOTO
Apache Spark (Pyspark)
Python
Airflow
+1
Visualizar vaga"
"Analista de Dados Sênior - Vaga híbrida ou remota
Publicada há 1 dia
REMOTO
CLT
R$ 9.000,00 - R$ 10.000,00 / mês
SQL
Datal Lake
Data Warehouse
Power BI
+2
Visualizar vaga"
"Desenvolvedor(a) Backend Sênior
Publicada há 2 dias
Curitiba - PR |
PRESENCIAL
PJ (Pessoa Jurídica)
R$ 8.000,00 - R$ 11.000,00 / mês
Claude AI
PostgreSQL
Node.js
Python
+3
Visualizar vaga"
"Analista de Dados / BI (SQL Server) – Júnior/Pleno
Publicada há 2 dias
São Paulo - SP |
HÍBRIDO
Microsoft SQL Server
T-Sql
QuickSight
+4
Visualizar vaga"
"Desenvolvedor Python - Junior
Publicada há 2 dias
REMOTO
CLT
R$ 5.000,00 - R$ 6.000,00 / mês
Python
APIs
Teste
Visualizar vaga"
"Analista de BI (Business Intelligence) Pleno
Publicada há 3 dias
REMOTO
Python
SQL
Power BI
Data Warehouse
Azure
+1
Visualizar vaga"
